n,1/s,R_A1,N_A1,H_A1
69,70.386,0,NAN,NAN
70,71.409,4,NAN,NAN
71,72.432,1,NAN,NAN
72,73.453,1,NAN,NAN
73,74.468,3,NAN,NAN
74,75.492,1,NAN,NAN
75,76.539,3,NAN,NAN
76,77.571,0,NAN,NAN
77,78.589,2,NAN,NAN
78,79.611,0,NAN,NAN
79,80.627,1,NAN,NAN
80,81.648,0,NAN,NAN
81,82.668,3,NAN,NAN
82,83.69,2,NAN,NAN
83,84.707,3,NAN,NAN
84,85.727,0,NAN,NAN
85,86.75,0,NAN,NAN
86,87.767,1,NAN,NAN
87,88.792,4,NAN,NAN
88,89.808,1,NAN,NAN
89,90.828,1,NAN,NAN
90,91.846,2,NAN,NAN
91,92.867,4,NAN,NAN
92,93.888,1,NAN,NAN
93,94.911,2,NAN,NAN
94,95.931,0,NAN,NAN
95,96.947,0,NAN,NAN
96,97.97,3,NAN,NAN
97,98.986,0,NAN,NAN
98,100.006,3,NAN,NAN
99,101.025,0,NAN,NAN
100,102.046,0,NAN,NAN
101,103.065,1,NAN,NAN
102,104.089,6,NAN,NAN
103,105.108,3,NAN,NAN
104,106.128,0,NAN,NAN
105,107.148,2,NAN,NAN
106,108.165,3,NAN,NAN
107,109.189,1,NAN,NAN
108,110.208,1,NAN,NAN
109,111.226,3,NAN,NAN
110,112.252,2,NAN,NAN
111,113.281,2,NAN,NAN
112,114.311,1,NAN,NAN
113,115.336,0,NAN,NAN
114,116.359,2,NAN,NAN
115,117.378,1,NAN,NAN
116,118.398,1,NAN,NAN
117,119.418,4,NAN,NAN
118,120.44,2,NAN,NAN
119,121.458,1,NAN,NAN
120,122.477,0,NAN,NAN
121,123.494,1,NAN,NAN
122,124.512,4,NAN,NAN
123,125.533,0,NAN,NAN
124,126.555,1,NAN,NAN
125,127.577,1,NAN,NAN
126,128.592,1,NAN,NAN
127,129.615,2,NAN,NAN
128,130.634,0,NAN,NAN
129,131.655,0,NAN,NAN
130,132.678,2,NAN,NAN
131,133.697,2,NAN,NAN
132,134.713,1,NAN,NAN
133,135.736,4,NAN,NAN
134,136.756,3,NAN,NAN
135,137.773,2,NAN,NAN
136,138.793,3,NAN,NAN
137,139.815,2,NAN,NAN
138,140.836,2,NAN,NAN
139,141.852,0,NAN,NAN
140,142.875,1,NAN,NAN
141,143.89,0,NAN,NAN
142,144.915,2,NAN,NAN
143,145.935,1,NAN,NAN
144,146.951,4,NAN,NAN
145,147.976,2,NAN,NAN
146,148.994,1,NAN,NAN
147,150.013,1,NAN,NAN
148,151.034,1,NAN,NAN
149,152.056,0,NAN,NAN
150,153.074,1,NAN,NAN
151,154.092,3,NAN,NAN
152,155.111,2,NAN,NAN
153,156.131,2,NAN,NAN
154,157.153,2,NAN,NAN
155,158.174,3,NAN,NAN
156,159.198,6,NAN,NAN
157,160.221,2,NAN,NAN
158,161.241,1,NAN,NAN
159,162.265,3,NAN,NAN
160,163.28,0,NAN,NAN
161,164.3,0,NAN,NAN
162,165.32,2,NAN,NAN
163,166.343,1,NAN,NAN
164,167.359,3,NAN,NAN
165,168.379,2,NAN,NAN
166,169.404,1,NAN,NAN
167,170.421,1,NAN,NAN
168,171.438,3,NAN,NAN
169,172.464,1,NAN,NAN
170,173.483,0,NAN,NAN
171,174.5,3,NAN,NAN
172,175.52,0,NAN,NAN
173,176.539,1,NAN,NAN
174,177.563,2,NAN,NAN
175,178.58,1,NAN,NAN
176,179.599,1,NAN,NAN
177,180.619,2,NAN,NAN
178,181.638,0,NAN,NAN
179,182.658,3,NAN,NAN
180,183.683,2,NAN,NAN
181,184.701,1,NAN,NAN
182,185.718,0,NAN,NAN
183,186.739,0,NAN,NAN
184,187.763,1,NAN,NAN
185,188.779,1,NAN,NAN
186,189.801,5,NAN,NAN
187,190.822,0,NAN,NAN
188,191.839,1,NAN,NAN
189,192.855,2,NAN,NAN
190,193.876,1,NAN,NAN
191,194.9,6,NAN,NAN
192,195.919,0,NAN,NAN
193,196.938,2,NAN,NAN
194,197.96,0,NAN,NAN
195,198.978,3,NAN,NAN
196,199.996,0,NAN,NAN
197,201.016,1,NAN,NAN
198,202.04,0,NAN,NAN
199,203.059,2,NAN,NAN
200,204.076,2,NAN,NAN
201,205.102,1,NAN,NAN
202,206.119,3,NAN,NAN
203,207.142,2,NAN,NAN
204,208.156,1,NAN,NAN
205,209.181,3,NAN,NAN
206,210.199,0,NAN,NAN
207,211.218,3,NAN,NAN
208,212.234,0,NAN,NAN
209,213.26,4,NAN,NAN
210,214.28,4,NAN,NAN
211,215.296,3,NAN,NAN
212,216.32,0,NAN,NAN
213,217.336,1,NAN,NAN
214,218.357,1,NAN,NAN
215,219.375,4,NAN,NAN
216,220.395,5,NAN,NAN
217,221.418,2,NAN,NAN
218,222.438,1,NAN,NAN
219,223.458,2,NAN,NAN
220,224.474,3,NAN,NAN
221,225.499,2,NAN,NAN
222,226.517,1,NAN,NAN
223,227.533,3,NAN,NAN
224,228.56,1,NAN,NAN
225,229.576,2,NAN,NAN
226,230.599,1,NAN,NAN
227,231.619,2,NAN,NAN
228,232.636,2,NAN,NAN
229,233.655,1,NAN,NAN
230,234.674,5,NAN,NAN
231,235.698,3,NAN,NAN
232,236.714,1,NAN,NAN
233,237.734,2,NAN,NAN
234,238.754,2,NAN,NAN
235,239.774,1,NAN,NAN
236,240.797,1,NAN,NAN
237,241.815,2,NAN,NAN
238,242.836,0,NAN,NAN
239,243.855,2,NAN,NAN
240,244.875,0,NAN,NAN
241,245.894,3,NAN,NAN
242,246.912,0,NAN,NAN
243,247.931,3,NAN,NAN
244,248.954,2,NAN,NAN
245,249.975,2,NAN,NAN
246,250.995,1,NAN,NAN
247,252.011,2,NAN,NAN
248,253.036,1,NAN,NAN
249,254.056,1,NAN,NAN
250,255.073,4,NAN,NAN
251,256.091,1,NAN,NAN
252,257.116,3,NAN,NAN
253,258.135,1,NAN,NAN
254,259.152,2,NAN,NAN
255,260.177,3,NAN,NAN
256,261.196,3,NAN,NAN
257,262.215,1,NAN,NAN
258,263.232,3,NAN,NAN
259,264.252,2,NAN,NAN
260,265.274,2,NAN,NAN
261,266.29,1,NAN,NAN
262,267.312,0,NAN,NAN
263,268.336,0,NAN,NAN
264,269.354,1,NAN,NAN
265,270.372,1,NAN,NAN
266,271.395,1,NAN,NAN
267,272.415,2,NAN,NAN
268,273.432,2,NAN,NAN
269,274.451,1,NAN,NAN
270,275.475,3,NAN,NAN
271,276.494,1,NAN,NAN
272,277.511,0,NAN,NAN
273,278.53,0,NAN,NAN
274,279.554,3,NAN,NAN
275,280.572,4,NAN,NAN
276,281.593,2,NAN,NAN
277,282.61,2,NAN,NAN
278,283.629,1,NAN,NAN
279,284.652,2,NAN,NAN
280,285.67,1,NAN,NAN
281,286.691,2,NAN,NAN
282,287.71,4,NAN,NAN
283,288.731,2,NAN,NAN
284,289.754,0,NAN,NAN
285,290.769,4,NAN,NAN
286,291.79,2,NAN,NAN
287,292.813,1,NAN,NAN
288,293.829,1,NAN,NAN
289,294.85,1,NAN,NAN
290,295.872,0,NAN,NAN
291,296.892,2,NAN,NAN
292,297.912,2,NAN,NAN
293,298.933,0,NAN,NAN
294,299.951,2,NAN,NAN
295,300.972,3,NAN,NAN
296,301.987,3,NAN,NAN
297,303.013,0,NAN,NAN
298,304.03,2,NAN,NAN
299,305.048,2,NAN,NAN
300,306.066,1,NAN,NAN
301,307.086,1,NAN,NAN
302,308.113,1,NAN,NAN
303,309.129,1,NAN,NAN
304,310.145,1,NAN,NAN
305,311.172,1,NAN,NAN
306,312.19,4,NAN,NAN
307,313.209,1,NAN,NAN
308,314.231,1,NAN,NAN
309,315.251,0,NAN,NAN
310,316.27,4,NAN,NAN
311,317.29,2,NAN,NAN
312,318.31,1,NAN,NAN
313,319.331,2,NAN,NAN
314,320.349,1,NAN,NAN
315,321.367,1,NAN,NAN
316,322.385,3,NAN,NAN
317,323.405,2,NAN,NAN
318,324.425,3,NAN,NAN
319,325.447,0,NAN,NAN
320,326.47,0,NAN,NAN
321,327.49,0,NAN,NAN
322,328.507,0,NAN,NAN
323,329.53,1,NAN,NAN
324,330.547,1,NAN,NAN
325,331.57,3,NAN,NAN
326,332.586,0,NAN,NAN
327,333.606,2,NAN,NAN
328,334.625,1,NAN,NAN
329,335.646,1,NAN,NAN
330,336.668,3,NAN,NAN
331,337.688,0,NAN,NAN
332,338.705,1,NAN,NAN
333,339.724,4,NAN,NAN
334,340.744,2,NAN,NAN
335,341.764,3,NAN,NAN
336,342.783,3,NAN,NAN
337,343.806,3,NAN,NAN
338,344.827,1,NAN,NAN
339,345.847,1,NAN,NAN
340,346.862,1,NAN,NAN
341,347.888,1,NAN,NAN
342,348.908,5,NAN,NAN
343,349.925,1,NAN,NAN
344,350.948,2,NAN,NAN
345,351.964,2,NAN,NAN
346,352.984,0,NAN,NAN
347,354.007,1,NAN,NAN
348,355.027,1,NAN,NAN
349,356.043,2,NAN,NAN
350,357.067,1,NAN,NAN
351,358.083,1,NAN,NAN
352,359.106,0,NAN,NAN
353,360.126,1,NAN,NAN
354,361.146,1,NAN,NAN
355,362.165,2,NAN,NAN
356,363.184,2,NAN,NAN
357,364.206,0,NAN,NAN
358,365.225,2,NAN,NAN
359,366.246,2,NAN,NAN
360,367.267,4,NAN,NAN
361,368.287,5,NAN,NAN
362,369.306,2,NAN,NAN
363,370.321,2,NAN,NAN
364,371.345,6,NAN,NAN
365,372.362,3,NAN,NAN
366,373.382,5,NAN,NAN
367,374.405,2,NAN,NAN
368,375.425,0,NAN,NAN
369,376.446,2,NAN,NAN
370,377.461,4,NAN,NAN
371,378.482,1,NAN,NAN
372,379.501,2,NAN,NAN
373,380.525,1,NAN,NAN
374,381.543,1,NAN,NAN
375,382.563,0,NAN,NAN
376,383.582,1,NAN,NAN
377,384.603,3,NAN,NAN
378,385.62,1,NAN,NAN
379,386.645,2,NAN,NAN
380,387.66,1,NAN,NAN
381,388.685,2,NAN,NAN
382,389.701,3,NAN,NAN
383,390.721,0,NAN,NAN
384,391.739,1,NAN,NAN
385,392.76,2,NAN,NAN
386,393.78,2,NAN,NAN
387,394.8,0,NAN,NAN
388,395.819,1,NAN,NAN
389,396.84,2,NAN,NAN
390,397.86,3,NAN,NAN
391,398.883,1,NAN,NAN
392,399.9,2,NAN,NAN
393,400.925,1,NAN,NAN
394,401.945,3,NAN,NAN
395,402.962,2,NAN,NAN
396,403.984,2,NAN,NAN
397,405.001,3,NAN,NAN
398,406.024,3,NAN,NAN
399,407.044,2,NAN,NAN
400,408.064,2,NAN,NAN
401,409.078,0,NAN,NAN
402,410.098,4,NAN,NAN
403,411.123,1,NAN,NAN
404,412.141,1,NAN,NAN
405,413.162,1,NAN,NAN
406,414.182,1,NAN,NAN
407,415.202,3,NAN,NAN
408,416.221,3,NAN,NAN
409,417.242,2,NAN,NAN
410,418.257,4,NAN,NAN
411,419.278,0,NAN,NAN
412,420.297,3,NAN,NAN
413,421.323,3,NAN,NAN
414,422.337,3,NAN,NAN
415,423.359,3,NAN,NAN
416,424.382,1,NAN,NAN
417,425.412,0,NAN,NAN
418,426.426,3,NAN,NAN
419,427.452,1,NAN,NAN
420,428.469,2,NAN,NAN
421,429.491,5,NAN,NAN
422,430.507,3,NAN,NAN
423,431.53,2,NAN,NAN
424,432.551,1,NAN,NAN
425,433.567,0,NAN,NAN
426,434.59,4,NAN,NAN
427,435.609,6,NAN,NAN
428,436.629,1,NAN,NAN
429,437.645,1,NAN,NAN
430,438.669,0,NAN,NAN
431,439.689,3,NAN,NAN
432,440.706,2,NAN,NAN
433,441.731,1,NAN,NAN
434,442.748,2,NAN,NAN
435,443.768,2,NAN,NAN
436,444.791,1,NAN,NAN
437,445.804,2,NAN,NAN
438,446.827,4,NAN,NAN
439,447.846,0,NAN,NAN
440,448.869,2,NAN,NAN
441,449.889,2,NAN,NAN
442,450.909,0,NAN,NAN
443,451.929,4,NAN,NAN
444,452.945,1,NAN,NAN
445,453.965,5,NAN,NAN
446,454.988,0,NAN,NAN
447,456.004,1,NAN,NAN
448,457.025,2,NAN,NAN
449,458.047,2,NAN,NAN
450,459.067,2,NAN,NAN
451,460.083,2,NAN,NAN
452,461.103,1,NAN,NAN
453,462.126,3,NAN,NAN
454,463.146,1,NAN,NAN
455,464.166,3,NAN,NAN
456,465.186,1,NAN,NAN
457,466.203,2,NAN,NAN
458,467.223,4,NAN,NAN
459,468.243,1,NAN,NAN
460,469.266,4,NAN,NAN
461,470.283,2,NAN,NAN
462,471.308,2,NAN,NAN
463,472.328,0,NAN,NAN
464,473.342,0,NAN,NAN
465,474.366,0,NAN,NAN
466,475.387,1,NAN,NAN
467,476.403,2,NAN,NAN
468,477.423,3,NAN,NAN
469,478.447,1,NAN,NAN
470,479.465,0,NAN,NAN
471,480.483,3,NAN,NAN
472,481.505,1,NAN,NAN
473,482.527,4,NAN,NAN
474,483.541,2,NAN,NAN
475,484.564,1,NAN,NAN
476,485.582,2,NAN,NAN
477,486.601,2,NAN,NAN
478,487.621,0,NAN,NAN
479,488.642,2,NAN,NAN
480,489.666,2,NAN,NAN
481,490.685,0,NAN,NAN
482,491.705,3,NAN,NAN
483,492.72,0,NAN,NAN
484,493.745,3,NAN,NAN
485,494.765,2,NAN,NAN
486,495.781,2,NAN,NAN
487,496.8,3,NAN,NAN
488,497.824,1,NAN,NAN
489,498.84,1,NAN,NAN
490,499.86,1,NAN,NAN
491,500.88,2,NAN,NAN
492,501.903,2,NAN,NAN
493,502.919,2,NAN,NAN
494,503.939,4,NAN,NAN
495,504.965,2,NAN,NAN
496,505.978,4,NAN,NAN
497,507.001,1,NAN,NAN
498,508.024,2,NAN,NAN
499,509.043,2,NAN,NAN
500,510.062,1,NAN,NAN
